City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,San Javier,37.8063,-0.8374,69.22,70,0,1.01,ES,2021-10-12 20:51:42
117,Ancud,-41.8697,-73.8203,63.93,76,15,9.57,CL,2021-10-12 20:51:42
118,Bathsheba,13.2167,-59.5167,84.81,79,75,14.97,BB,2021-10-12 20:51:43
119,Luba,3.4568,8.5547,79.81,89,77,6.96,GQ,2021-10-12 20:51:43
120,Benjamin Hill,30.1667,-111.1,75.02,28,0,18.61,MX,2021-10-12 20:51:44
121,Wanning,18.8003,110.3967,71.56,90,100,26.08,CN,2021-10-12 20:51:44
122,Pelotas,-31.7719,-52.3425,71.62,84,40,1.99,BR,2021-10-12 20:51:45
123,Kaitangata,-46.2817,169.8464,43.86,79,100,13.62,NZ,2021-10-12 20:51:45
124,Isangel,-19.55,169.2667,78.91,73,96,3.44,VU,2021-10-12 20:51:46
125,Vostok,46.4856,135.8833,33.67,66,0,3.98,RU,2021-10-12 20:51:46
126,Mar Del Plata,-38.0023,-57.5575,61.0,60,75,8.01,AR,2021-10-12 20:48:34
127,Marawi,7.9986,124.2928,66.65,79,76,4.29,PH,2021-10-12 20:51:47
128,Alofi,-19.0595,-169.9187,76.89,57,40,8.05,NU,2021-10-12 20:51:48
129,Atar,20.5169,-13.0499,89.37,15,18,5.14,MR,2021-10-12 20:51:48
130,Qasigiannguit,68.8193,-51.1922,21.16,82,13,4.65,GL,2021-10-12 20:51:49
131,San Ignacio,17.1561,-89.0714,95.14,52,20,0.0,BZ,2021-10-12 20:51:49
132,Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,70,20,8.95,RU,2021-10-12 20:51:49
133,Puerto Ayora,-0.7393,-90.3518,80.56,83,59,7.0,EC,2021-10-12 20:51:50
134,Vuktyl,63.8567,57.3094,39.56,91,100,7.74,RU,2021-10-12 20:51:51
135,East London,-33.0153,27.9116,65.71,80,100,1.3,ZA,2021-10-12 20:51:51
136,Nikolskoye,59.7035,30.7861,44.87,86,90,5.66,RU,2021-10-12 20:51:51
137,Xiongzhou,25.1167,114.3,68.36,74,100,5.93,CN,2021-10-12 20:51:52
138,Hit,33.6416,42.8251,83.08,15,18,7.23,IQ,2021-10-12 20:51:52
139,Trelew,-43.249,-65.3051,77.65,23,85,20.96,AR,2021-10-12 20:51:53
140,Oistins,13.0667,-59.5333,84.29,79,75,14.97,BB,2021-10-12 20:51:53
141,Tautira,-17.7333,-149.15,84.22,82,99,17.13,PF,2021-10-12 20:51:54
142,Cradock,-32.1642,25.6192,71.49,30,95,1.99,ZA,2021-10-12 20:51:54
143,Pisco,-13.7,-76.2167,66.25,72,0,9.22,PE,2021-10-12 20:51:55
144,Carutapera,-1.195,-46.02,80.87,71,6,11.86,BR,2021-10-12 20:51:55
145,Devils Lake,48.1128,-98.8651,48.94,58,1,10.0,US,2021-10-12 20:51:56
146,Arraial Do Cabo,-22.9661,-42.0278,67.96,94,75,9.22,BR,2021-10-12 20:49:54
147,Kant,27.8,79.8,75.25,55,1,4.97,IN,2021-10-12 20:51:57
148,Benguela,-12.5763,13.4055,75.25,77,62,7.67,AO,2021-10-12 20:51:57
149,Russkaya Polyana,49.417,31.9201,49.55,68,100,3.36,UA,2021-10-12 20:51:58
150,Magadan,59.5667,150.8,30.43,74,62,5.1,RU,2021-10-12 20:51:58
151,Winslow,35.0242,-110.6974,50.97,37,40,7.0,US,2021-10-12 20:51:59
152,Lebu,-37.6167,-73.65,56.17,76,34,5.88,CL,2021-10-12 20:47:51
153,Dingle,10.9995,122.6711,76.59,91,100,7.65,PH,2021-10-12 20:52:00
154,Pultusk,52.7025,21.0828,49.28,52,65,4.88,PL,2021-10-12 20:52:00
155,Jinchang,38.4953,102.1739,45.43,29,8,2.42,CN,2021-10-12 20:52:01
156,Damara,4.9608,18.7035,70.84,96,62,1.63,CF,2021-10-12 20:52:01
157,Palasa,18.7667,84.4167,77.61,85,13,3.0,IN,2021-10-12 20:52:02
158,Najran,17.4924,44.1277,72.25,14,61,3.6,SA,2021-10-12 20:52:03
