City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Coronel Mariduena,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
551,Requena,PE,70.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
553,Socorro,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
554,Coro,VE,77.76,overcast clouds,8.0086,-62.3989,Posada Villa Nela
556,Sinop,TR,66.04,broken clouds,37.0247,35.8175,Ilbeyli Kiz Ogrenci Yurdu
557,Canutama,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
558,Bur Gabo,SO,78.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
559,Sao Lourenco Do Oeste,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
560,Ahipara,NZ,70.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
561,Taree,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
563,Gallup,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
564,Salinas,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
565,Eyl,SO,78.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
566,Wageningen,NL,57.94,overcast clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
567,Port Macquarie,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
568,Orcopampa,PE,70.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
569,Rajpipla,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
570,Manaure,CO,69.21,light rain,1.9339,-77.3025,HOTEL LEIVA
571,Peterongan,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
573,Ovalle,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
575,Buala,PT,64.81,overcast clouds,40.1629,-8.3327,Casa Maquia
576,Almeirim,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
577,Kavaratti,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
578,Aloleng,PH,79.72,broken clouds,15.2206,121.4111,The Chairmans Residence
579,Sabzevar,IR,70.74,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
580,Nome,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
581,Sciacca,IT,64.98,few clouds,37.9837,13.6956,Hotel Piccolo
582,Kokopo,PG,84.72,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
583,Atambua,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
586,Bafoulabe,ML,84.6,broken clouds,22.6783,-3.9836,
587,Puerto Baquerizo Moreno,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
589,Wajima,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
595,La Baule-Escoublac,FR,62.2,clear sky,45.5,-0.25,Domaine de Pladuc
596,Siderno,IT,64.98,few clouds,37.9837,13.6956,Hotel Piccolo
597,Malanje,AO,62.67,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
599,Geraldton,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
601,Hohoe,GH,79.99,overcast clouds,5.7947,0.8973,Pin Drop Hotel
602,Port-Gentil,GA,76.05,overcast clouds,-2.65,10.0,
603,Waingapu,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
604,Faya,TD,88.75,clear sky,13.2154,18.3353,
606,Tubruq,LY,69.1,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
607,Rock Sound,BS,79.86,broken clouds,24.9,-76.2,Rock Sound Club
610,Saint-Denis,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
614,Gwanda,ZW,60.53,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
615,Iralaya,HN,82.49,overcast clouds,15.0,-83.2333,Iglesia morava renovada
616,Kuzhithurai,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
