City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed
393,Cyangugu,RW,-2.0744,29.7567,63.86,overcast clouds,88,90,4.5
394,Suleja,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
395,Maghama,MR,18.0858,-15.9785,78.73,broken clouds,62,52,14.88
396,Buba,GW,11.2833,-15.8333,82.69,overcast clouds,74,100,9.33
397,Goma,CD,-2.95,25.95,69.57,light rain,100,100,1.41
398,Ouargaye,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
399,Bogande,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
400,Accra,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
401,Ebolowa,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
402,Beterou,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
403,Ndioum,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
404,Mme,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
405,Ouesso,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
406,Save,BJ,9.7085,1.666,75.02,broken clouds,78,69,3.42
407,Tenenkou,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
408,Aketi,CD,-2.95,25.95,69.57,light rain,100,100,1.41
409,Techiman,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
410,Tambacounda,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
411,Monatele,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
412,Mwaro,BI,-2.8833,29.25,63.73,overcast clouds,79,96,5.06
413,Kango,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
414,Poli,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
415,Kananga,CD,-2.95,25.95,69.57,light rain,100,100,1.41
416,Micomeseng,GQ,1.8658,10.7689,70.09,broken clouds,100,67,1.99
417,Lastoursville,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
418,Kokologo,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
419,Maroua,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
420,Foso,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
421,Bere,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
422,Bolgatanga,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
423,Tivaouane,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
424,Konongo,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
425,Yola,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
426,Igboho,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
427,Mamou,GN,9.538,-13.6773,73.36,light rain,76,97,6.67
428,Brazzaville,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
429,Nisia Floresta,BR,-6.9811,-34.8339,79.47,overcast clouds,76,97,9.1
430,Bumba,CD,-2.95,25.95,69.57,light rain,100,100,1.41
431,Sal Rei,CV,14.8961,-24.4956,78.1,scattered clouds,71,46,11.54
432,Cocobeach,GA,-1.5843,14.2591,73.36,broken clouds,87,74,2.91
433,Rokupr,SL,7.5264,-12.505,77.94,moderate rain,87,100,5.91
434,Kaduna,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
435,Uyo,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
436,Gboko,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
437,Kabalo,CD,-2.95,25.95,69.57,light rain,100,100,1.41
438,Saurimo,AO,-6.1349,12.3689,76.86,light rain,84,91,9.31
